id,ribotype
212,"['CloneB-11', 'StrainCD196', '441/3', '029', '484', '519', '001', '033', '247', '434', '542', '444', '012', '027', 'CloneA-15', '126']"
213,['542']
214,"['CloneB-11', 'StrainCD196', '441/3', '029', '484', '519', '001', '033', '247', '434', '542', '444', '012', '027', 'CloneA-15', '126']"
215,"['029', 'Strain630', '524']"
216,['434']
217,['CloneA-6']
218,['029']
219,['063/1']
220,['AI5']
221,['519']
222,['063']
223,['001']
224,['029']
225,['Strain630']
226,"['251', '063/1']"
227,['001']
228,['519']
229,['033']
230,['126']
231,"['029', '066', '078', '078ecdc', 'CloneB-14', '251', '063/1', '434', '444', '012', '078/4', '066/2', '045', '484', '045/1', '033', '247', '542', '027', 'CloneAT-7', 'CloneAT-8', '126']"
232,"['444', '063']"
233,"['176', '029', 'Strain027', 'CloneA-15', 'CloneAT-3', 'AI-56', '434', '444', '012', '441/3', 'CloneA-6', 'CloneAT-16', '524', '519', '001', 'CloneAT-14', '063', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneB-12', 'AI5', 'CloneAT-9']"
234,['519']
235,"['029', 'Strain630', '524']"
236,"['029', 'CloneA-15', '063/1', '434', '444', '012', '441/3', '524', '519', '484', '001', '033', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
237,"['078/4', '033', '126']"
238,"['CloneAT-1', 'CloneAT-12', 'CloneAT-11', 'CloneAT-14']"
239,['247']
240,['444']
241,"['176', '247']"
242,['441/3']
243,"['029', '066', '078', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '484', '045/1', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'StrainCD196', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'CloneAT-9', '126']"
244,"['444', '063']"
245,"['029', 'CloneA-15', '063/1', '434', '444', '012', '441/3', '524', '519', '484', '001', '033', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
246,['029']
247,"['029', 'CloneA-15', '063/1', '434', '444', '012', '441/3', '524', '519', '484', '001', '033', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
248,['012']
249,"['029', '066', '078', 'CloneA-15', '078ecdc', '251', '063/1', '434', '012', '078/4', '441/3', '066/2', '524', '519', '484', '045/1', '001', 'Strain630', '247', '542', '027', 'CloneB-11', 'StrainCD196', '126']"
250,"['176', '029', 'Strain027', 'CloneAT-3', 'AI-56', '063/1', '434', '444', '012', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
251,['CloneB-14']
252,['542']
253,['012']
254,"['176', '029', '066', '078', 'Strain027', 'CloneA-15', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
255,['StrainCD196']
256,"['StrainCD196', '029', 'CloneAT-11', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '444']"
257,"['066/2', 'CloneAT-16', 'CloneAT-9', 'CloneAT-3', '045', '524', 'CloneAT-12', '029', '066', '484', 'AI-56', '063', 'CloneAT-8', '542', 'CloneAT-1', '441', '012', 'CloneA-6']"
258,['CloneAT-7']
259,['444']
260,"['AI5', '524', '519', '029', '063', '434', '542', 'Strain027', '444', 'CloneB-12', '012']"
261,"['176', '434']"
262,"['CloneB-14', '524']"
263,['247']
264,['CloneA-6']
265,['CloneAT-11']
266,"['176', 'StrainCD196', '519', 'CloneB-12', '012', 'CloneA-15']"
267,['StrainCD196']
268,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneB-14', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', '027', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-7', 'CloneAT-8', 'AI5', 'CloneAT-9', '126']"
269,"['444', '063', '434']"
270,['CloneAT-7']
271,['251']
272,"['012', '247', '434']"
273,['Strain630']
274,['444']
275,"['029', '066', '078', 'Strain027', 'CloneA-15', 'CloneAT-3', '434', '444', '012', '078/4', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', '001', '033', '542', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-8', 'AI5', 'CloneAT-9']"
276,['029']
277,['251']
278,['519']
279,"['444', '063']"
280,"['CloneB-11', 'StrainCD196', '524', '441/3', '029', '519', '001', '033', 'Strain630', '247', '063/1', '434', '542', '444', '012', '027', 'CloneA-15', '126']"
281,['484']
282,['CloneAT-11']
283,"['StrainCD196', '441/3', '029', 'Strain630', '012', '027']"
284,"['524', '519', '001', '434', '542']"
285,"['CloneB-11', '484', '033', '063/1', '434', '444', 'CloneA-15', '126']"
286,['247']
287,['CloneAT-11']
288,['AI5']
289,['027']
290,['066']
291,"['029', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '441/3', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
292,"['063/1', '033', '126']"
293,['063/1']
294,['434']
295,['029']
296,['542']
297,['176']
298,['078']
299,['027']
300,['066']
301,"['247', '441/3']"
302,['247']
303,"['029', 'Strain027', 'CloneA-15', '078ecdc', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
304,['247']
305,"['063/1', '033', '126']"
306,['063/1']
307,['434']
308,['029']
309,['063']
310,['001']
311,"['Strain630', '542']"
312,"['CloneAT-12', '524', '519', '029', '001', 'CloneAT-11', 'CloneAT-14', '434', '542', 'CloneAT-1', '444', '441/3']"
313,['542']
314,['247']
315,"['524', '519', '001', '434', '542']"
316,['029']
317,"['066', '251', '045/1', '033', '063/1', '078/4', '126']"
318,['078']
319,"['CloneB-11', '012', 'CloneA-15']"
320,"['033', '126']"
321,['029']
322,"['063/1', '033', '126']"
323,['StrainCD196']
324,['247']
325,"['063/1', '033', '126']"
326,"['029', '078', 'Strain027', 'CloneA-15', '078ecdc', '251', '063/1', '434', '444', '012', '078/4', '524', '519', '045/1', '001', 'CloneAT-14', '063', '033', 'Strain630', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'CloneB-11', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'CloneAT-9', '126']"
327,['027']
328,['066']
329,"['247', '441/3']"
330,['247']
331,"['029', '251']"
332,"['AI-56', '444', '063']"
333,['444']
334,['063']
335,['247']
336,"['176', '029', '066', '078', 'Strain027', '078ecdc', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
337,['CloneB-14']
338,['126']
339,"['Strain630', '542']"
340,"['CloneAT-12', '524', '519', '029', '001', 'CloneAT-11', 'CloneAT-14', '434', '542', 'CloneAT-1', '444', '441/3']"
341,['Strain630']
342,"['CloneAT-12', '524', '519', '029', '001', 'CloneAT-11', 'CloneAT-14', 'Strain630', '434', '542', 'CloneAT-1', '444', '441/3']"
343,"['029', '066', '078', 'Strain027', '078ecdc', 'CloneAT-3', 'AI-56', '251', '063/1', '434', '444', '012', '078/4', 'CloneA-6', '066/2', 'CloneAT-16', '045', '524', '519', '484', '045/1', 'CloneAT-14', '063', '033', 'CloneAT-17', '247', '542', 'CloneAT-1', '441', 'CloneAT-12', 'StrainCD196', 'CloneAT-11', 'CloneAT-7', 'CloneAT-8', 'CloneB-12', 'AI5', 'CloneAT-9', '126']"
344,['CloneB-14']
345,['078']
346,"['StrainCD196', '029', 'AI-56', '045/1', '063', 'CloneAT-17', '444', 'CloneAT-9', '441/3']"
347,['444']
348,['CloneAT-7']
349,['251']
350,"['012', '247', '434']"
