"accession","source_code","ribotype"
"SRR5410473","SRR",78
"ERR1910472","ERR",78
"ERR1910471","ERR",78
"ERR1910470","ERR",78
"ERR1910469","ERR",78
"ERR1910468","ERR",78
"ERR1910467","ERR",78
"ERR1910466","ERR",78
"SRR6042361","SRR",78
"SRR7309155","SRR",78
"SRR7309171","SRR",78
"SRR7309228","SRR",78
"SRR7308895","SRR",78
"SRR7308912","SRR",78
"SRR7308920","SRR",78
"SRR7308946","SRR",78
"SRR7309059","SRR",78
"SRR7309098","SRR",78
"SRR7308758","SRR",78
"SRR7308822","SRR",78
"ERR2232522","ERR",78
"ERR3473846","ERR",78
"ERR3473782","ERR",78
"ERR3473762","ERR",78
"ERR3473746","ERR",78
"ERR3465812","ERR",78
"ERR3465811","ERR",78
"ERR3465809","ERR",78
"ERR3465807","ERR",78
"ERR3465802","ERR",78
"ERR3465801","ERR",78
"ERR3465800","ERR",78
"ERR3465799","ERR",78
"ERR3465798","ERR",78
"ERR3465797","ERR",78
"ERR3465796","ERR",78
"ERR3465794","ERR",78
"ERR3465793","ERR",78
"ERR3465792","ERR",78
"ERR3465791","ERR",78
"ERR3465790","ERR",78
"ERR3465789","ERR",78
"ERR3465786","ERR",78
"ERR3465784","ERR",78
"ERR3465783","ERR",78
"ERR3465782","ERR",78
"ERR3465781","ERR",78
"ERR3465780","ERR",78
"ERR3465779","ERR",78
"ERR3465776","ERR",78
"ERR3465775","ERR",78
"ERR3465772","ERR",78
"ERR3465771","ERR",78
"ERR3465768","ERR",78
"ERR3465767","ERR",78
"ERR3465766","ERR",78
"ERR3465763","ERR",78
"ERR3465762","ERR",78
"ERR3465761","ERR",78
"ERR3465759","ERR",78
"ERR3465758","ERR",78
"ERR3465757","ERR",78
"ERR3465756","ERR",78
"ERR3465755","ERR",78
"ERR3465754","ERR",78
"ERR3465751","ERR",78
"ERR3465749","ERR",78
"ERR3465748","ERR",78
"ERR3465743","ERR",78
"ERR3465733","ERR",78
"ERR3465731","ERR",78
"ERR3465730","ERR",78
"ERR3465729","ERR",78
"ERR3465725","ERR",78
"ERR3465724","ERR",78
"ERR3465723","ERR",78
"ERR3465722","ERR",78
"ERR3465721","ERR",78
"ERR3465719","ERR",78
"ERR3465717","ERR",78
"ERR3465716","ERR",78
"ERR3465714","ERR",78
"ERR3465711","ERR",78
"ERR3465710","ERR",78
"ERR3465707","ERR",78
"ERR3465700","ERR",78
"ERR3465697","ERR",78
"ERR3465696","ERR",78
"ERR3465694","ERR",78
"ERR3465693","ERR",78
"ERR3465692","ERR",78
"ERR3465688","ERR",78
"ERR3465686","ERR",78
"ERR3465684","ERR",78
"ERR3465683","ERR",78
"ERR3465682","ERR",78
"ERR3465681","ERR",78
"ERR3465680","ERR",78
"ERR3465679","ERR",78
"ERR3465676","ERR",78
"ERR3465675","ERR",78
"ERR3465673","ERR",78
"ERR3465669","ERR",78
"ERR3465668","ERR",78
"ERR3465667","ERR",78
"ERR3465665","ERR",78
"ERR3465664","ERR",78
"ERR3465663","ERR",78
"ERR3465660","ERR",78
"ERR3465659","ERR",78
"ERR3465658","ERR",78
"ERR3465657","ERR",78
"ERR3465651","ERR",78
"ERR3465650","ERR",78
"ERR3465648","ERR",78
"ERR3465647","ERR",78
"ERR3465646","ERR",78
"ERR3465644","ERR",78
"ERR3465643","ERR",78
"ERR3465642","ERR",78
"ERR3465641","ERR",78
"ERR3465640","ERR",78
"ERR3465639","ERR",78
"ERR3465632","ERR",78
"ERR3465631","ERR",78
"ERR3465630","ERR",78
"ERR3465617","ERR",78
"ERR3465605","ERR",78
"ERR3465598","ERR",78
"ERR3465580","ERR",78
"ERR3465562","ERR",78
"ERR3465561","ERR",78
"ERR3465470","ERR",78
"ERR3465466","ERR",78
"ERR3465451","ERR",78
"ERR3465447","ERR",78
"ERR3465445","ERR",78
"ERR3465420","ERR",78
"ERR3465380","ERR",78
"ERR3465345","ERR",78
"ERR833663","ERR",27
"ERR955906","ERR",27
"ERR928289","ERR",27
"ERR928310","ERR",27
"ERR928309","ERR",27
"ERR928306","ERR",27
"ERR928305","ERR",27
"ERR928304","ERR",27
"ERR928303","ERR",27
"ERR928300","ERR",27
"ERR928294","ERR",27
"ERR928292","ERR",27
"ERR928290","ERR",27
"ERR928288","ERR",27
"ERR928287","ERR",27
"ERR928283","ERR",27
"ERR928277","ERR",27
"ERR928276","ERR",27
"ERR928272","ERR",27
"ERR928271","ERR",27
"ERR928270","ERR",27
"ERR928267","ERR",27
"ERR928260","ERR",27
"ERR928258","ERR",27
"ERR928252","ERR",27
"ERR928247","ERR",27
"ERR928236","ERR",27
"ERR928234","ERR",27
"ERR928231","ERR",27
"ERR928228","ERR",27
"ERR928226","ERR",27
"ERR928308","ERR",27
"ERR928307","ERR",27
"ERR928285","ERR",27
"ERR928275","ERR",27
"ERR928274","ERR",27
"ERR928312","ERR",27
"ERR928311","ERR",27
"ERR928302","ERR",27
"ERR928299","ERR",27
"ERR928297","ERR",27
"ERR928296","ERR",27
"ERR928295","ERR",27
"ERR928284","ERR",27
"ERR928282","ERR",27
"ERR928281","ERR",27
"ERR928280","ERR",27
"ERR928279","ERR",27
"ERR928273","ERR",27
"ERR928269","ERR",27
"ERR928268","ERR",27
"ERR928265","ERR",27
"ERR1256644","ERR",27
"ERR026830","ERR",27
"ERR026831","ERR",27
"ERR026832","ERR",27
"ERR026833","ERR",27
"ERR026834","ERR",27
"ERR026835","ERR",27
"ERR026836","ERR",27
"ERR026837","ERR",27
"ERR026838","ERR",27
"ERR026839","ERR",27
"ERR026840","ERR",27
"ERR026841","ERR",27
"ERR026856","ERR",27
"ERR026857","ERR",27
"ERR026858","ERR",27
"ERR026859","ERR",27
"ERR026861","ERR",27
"ERR026862","ERR",27
"ERR026863","ERR",27
"ERR026864","ERR",27
"ERR026865","ERR",27
"ERR026866","ERR",27
"ERR026867","ERR",27
"ERR026844","ERR",27
"ERR026845","ERR",27
"ERR026847","ERR",27
"ERR026849","ERR",27
"ERR026850","ERR",27
"ERR026854","ERR",27
"ERR026869","ERR",27
"ERR026870","ERR",27
"ERR026871","ERR",27
"ERR026872","ERR",27
"ERR026873","ERR",27
"ERR026874","ERR",27
"ERR026875","ERR",27
"ERR026876","ERR",27
"ERR026877","ERR",27
"ERR026878","ERR",27
"ERR026879","ERR",27
"ERR026880","ERR",27
"ERR026362","ERR",27
"ERR026363","ERR",27
"ERR026354","ERR",27
"ERR026355","ERR",27
"ERR026356","ERR",27
