id,count
633,23
634,70
635,23
636,20
637,82
638,12
639,61
640,69
641,3
642,23
643,82
644,8
645,2
646,76
647,14
648,3
649,64
650,69
651,2
652,6
653,42
654,2
655,7
656,38
657,2
658,38
659,69
660,3
661,15
662,18
663,2
664,8
665,6
666,3
667,54
668,16
669,64
670,7
671,110
672,70
673,2
674,15
675,92
676,9
677,17
678,3
679,17
680,76
681,13
682,22
683,84
684,19
685,2
686,2
687,94
688,56
689,22
690,22
691,94
692,13
693,2
694,2
695,21
696,85
697,2
698,71
699,23
700,23
701,22
702,23
703,23
704,23
705,23
706,15
707,90
708,4
709,23
710,45
711,2
712,22
713,3
714,21
715,18
716,85
717,23
718,23
719,23
720,23
721,156
722,2
723,16
724,5
725,22
726,2
727,31
728,2
729,18
730,70
731,23
732,22
733,86
734,3
735,65
736,11
737,59
738,15
739,2
740,69
741,3
742,64
743,31
744,9
745,2
746,23
747,23
748,22
749,3
750,23
751,22
752,20
753,69
754,23
755,3
756,10
757,84
758,6
759,7
760,8
761,84
762,86
763,94
764,23
765,62
766,3
767,6
768,23
769,3
770,3
771,109
772,2
773,16
774,2
775,44
776,2
777,9
778,21
779,159
780,94
781,34
782,89
783,42
784,3
785,22
786,69
787,2
788,68
789,48
790,3
791,44
792,22
793,9
794,23
795,2
796,68
797,59
798,46
799,2
800,15
801,26
802,3
803,93
804,11
805,19
806,2
807,2
808,54
809,22
810,22
811,13
812,2
813,2
814,3
815,22
816,2
817,19
818,76
819,15
820,17
821,2
822,22
823,14
824,5
825,63
826,31
827,23
828,23
829,3
830,6
831,4
832,38
833,2
834,7
835,18
836,2
837,2
838,18
839,23
840,23
841,92
842,69
843,15
844,22
845,5
846,83
847,2
848,11
849,22
850,22
851,5
852,3
853,15
854,68
855,18
856,2
857,6
858,18
859,3
860,93
861,22
862,22
863,107
864,2
865,69
866,27
867,107
868,22
869,3
870,22
871,69
872,2
873,13
874,27
875,3
876,19
877,69
878,19
879,3
880,2
881,2
882,71
883,37
884,4
885,3
886,87
887,2
888,158
889,20
890,2
891,23
892,23
893,23
894,8
895,3
896,14
897,15
898,2
899,10
900,81
901,43
902,59
903,22
904,15
905,21
906,5
907,83
908,92
909,87
910,2
911,23
912,6
913,5
914,95
915,3
916,22
917,2
918,95
919,20
920,3
921,5
922,2
923,173
924,95
925,2
926,93
927,87
928,2
929,22
930,20
931,21
932,3
933,83
934,94
935,3
936,7
937,7
938,3
939,3
940,23
941,68
942,94
943,2
944,18
945,2
946,5
947,2
948,2
949,6
950,20
951,89
952,3
953,8
954,22
955,5
956,5
957,24
958,44
959,21
960,23
961,5
962,3
963,19
964,23
965,69
966,94
967,81
968,2
969,6
970,69
971,2
972,89
973,93
974,13
975,35
976,2
977,91
978,2
979,94
980,2
981,54
982,9
983,82
984,3
985,3
986,69
987,31
988,63
989,94
990,70
991,2
992,3
993,63
994,2
995,90
996,67
997,22
998,23
999,15
1000,2
1001,42
1002,9
1003,9
1004,90
1005,13
1006,94
1007,2
1008,12
1009,7
1010,74
1011,135
1012,79
1013,12
1014,3
1015,2
1016,2
1017,91
1018,20
1019,22
1020,2
1021,2
1022,42
1023,50
1024,3
1025,23
1026,6
1027,4
1028,2
1029,47
1030,2
1031,23
1032,23
1033,94
1034,95
1035,54
1036,2
1037,7
1038,82
1039,3
1040,58
1041,2
1042,3
1043,22
1044,22
1045,69
1046,69
