"X.","Enterobase","Paper","Overall"
"","(N=3423)","(N=4655)","(N=8078)"
"ribotype_class","","",""
"  284","1 (0.0%)","0 (0%)","1 (0.0%)"
"  288","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  289","1 (0.0%)","0 (0%)","1 (0.0%)"
"  290","1 (0.0%)","0 (0%)","1 (0.0%)"
"  293","0 (0%)","4 (0.1%)","4 (0.0%)"
"  294","1 (0.0%)","0 (0%)","1 (0.0%)"
"  295","0 (0%)","3 (0.1%)","3 (0.0%)"
"  296","0 (0%)","1 (0.0%)","1 (0.0%)"
"  297","0 (0%)","1 (0.0%)","1 (0.0%)"
"  305","1 (0.0%)","0 (0%)","1 (0.0%)"
"  310","1 (0.0%)","0 (0%)","1 (0.0%)"
"  316","1 (0.0%)","0 (0%)","1 (0.0%)"
"  321","1 (0.0%)","0 (0%)","1 (0.0%)"
"  323","0 (0%)","1 (0.0%)","1 (0.0%)"
"  325","1 (0.0%)","0 (0%)","1 (0.0%)"
"  328","2 (0.1%)","0 (0%)","2 (0.0%)"
"  329","0 (0%)","1 (0.0%)","1 (0.0%)"
"  336","1 (0.0%)","0 (0%)","1 (0.0%)"
"  338","0 (0%)","2 (0.0%)","2 (0.0%)"
"  339","1 (0.0%)","4 (0.1%)","5 (0.1%)"
"  341","0 (0%)","3 (0.1%)","3 (0.0%)"
"  348","0 (0%)","1 (0.0%)","1 (0.0%)"
"  351","0 (0%)","2 (0.0%)","2 (0.0%)"
"  353","2 (0.1%)","1 (0.0%)","3 (0.0%)"
"  356","8 (0.2%)","40 (0.9%)","48 (0.6%)"
"  361","1 (0.0%)","0 (0%)","1 (0.0%)"
"  369","0 (0%)","1 (0.0%)","1 (0.0%)"
"  375","1 (0.0%)","0 (0%)","1 (0.0%)"
"  378","0 (0%)","1 (0.0%)","1 (0.0%)"
"  384","0 (0%)","1 (0.0%)","1 (0.0%)"
"  386","1 (0.0%)","0 (0%)","1 (0.0%)"
"  387","0 (0%)","1 (0.0%)","1 (0.0%)"
"  389","0 (0%)","1 (0.0%)","1 (0.0%)"
"  392","0 (0%)","1 (0.0%)","1 (0.0%)"
"  395","0 (0%)","1 (0.0%)","1 (0.0%)"
"  404","15 (0.4%)","0 (0%)","15 (0.2%)"
"  413","13 (0.4%)","0 (0%)","13 (0.2%)"
"  417","0 (0%)","1 (0.0%)","1 (0.0%)"
"  421","0 (0%)","1 (0.0%)","1 (0.0%)"
"  429","0 (0%)","1 (0.0%)","1 (0.0%)"
"  430","1 (0.0%)","0 (0%)","1 (0.0%)"
"  438","0 (0%)","1 (0.0%)","1 (0.0%)"
"  445","0 (0%)","2 (0.0%)","2 (0.0%)"
"  446","3 (0.1%)","0 (0%)","3 (0.0%)"
"  449","2 (0.1%)","0 (0%)","2 (0.0%)"
"  451","1 (0.0%)","3 (0.1%)","4 (0.0%)"
"  453","1 (0.0%)","0 (0%)","1 (0.0%)"
"  454","2 (0.1%)","0 (0%)","2 (0.0%)"
"  456","1 (0.0%)","0 (0%)","1 (0.0%)"
"  470","1 (0.0%)","0 (0%)","1 (0.0%)"
"  483","1 (0.0%)","0 (0%)","1 (0.0%)"
"  486","0 (0%)","1 (0.0%)","1 (0.0%)"
"  494","0 (0%)","1 (0.0%)","1 (0.0%)"
"  497","0 (0%)","1 (0.0%)","1 (0.0%)"
"  500","21 (0.6%)","0 (0%)","21 (0.3%)"
"  511","0 (0%)","4 (0.1%)","4 (0.0%)"
"  512","0 (0%)","1 (0.0%)","1 (0.0%)"
"  519","0 (0%)","1 (0.0%)","1 (0.0%)"
"  534","1 (0.0%)","0 (0%)","1 (0.0%)"
"  547","1 (0.0%)","0 (0%)","1 (0.0%)"
"  559","2 (0.1%)","0 (0%)","2 (0.0%)"
"  563","1 (0.0%)","0 (0%)","1 (0.0%)"
"  569","1 (0.0%)","1 (0.0%)","2 (0.0%)"
"  572","0 (0%)","4 (0.1%)","4 (0.0%)"
"  578","1 (0.0%)","0 (0%)","1 (0.0%)"
"  581","1 (0.0%)","0 (0%)","1 (0.0%)"
"  585","1 (0.0%)","0 (0%)","1 (0.0%)"
"  586","1 (0.0%)","0 (0%)","1 (0.0%)"
"  591","2 (0.1%)","0 (0%)","2 (0.0%)"
"  598","8 (0.2%)","3 (0.1%)","11 (0.1%)"
"  604","1 (0.0%)","0 (0%)","1 (0.0%)"
"  614","1 (0.0%)","0 (0%)","1 (0.0%)"
"  619","0 (0%)","6 (0.1%)","6 (0.1%)"
"  620","2 (0.1%)","0 (0%)","2 (0.0%)"
"  629","1 (0.0%)","0 (0%)","1 (0.0%)"
"  642","0 (0%)","1 (0.0%)","1 (0.0%)"
"  650","0 (0%)","1 (0.0%)","1 (0.0%)"
"  651","1 (0.0%)","0 (0%)","1 (0.0%)"
"  664","0 (0%)","1 (0.0%)","1 (0.0%)"
