"accession","source_code","ribotype"
"ERR044848","ERR",27
"ERR044847","ERR",27
"ERR044845","ERR",27
"ERR044844","ERR",27
"ERR044842","ERR",27
"ERR044838","ERR",27
"ERR044835","ERR",27
"ERR044834","ERR",27
"ERR044831","ERR",27
"ERR044828","ERR",27
"ERR044827","ERR",27
"ERR044826","ERR",27
"ERR044825","ERR",27
"ERR044818","ERR",27
"ERR044817","ERR",27
"ERR044816","ERR",27
"ERR044814","ERR",27
"ERR044812","ERR",27
"ERR044806","ERR",27
"ERR044805","ERR",27
"ERR044804","ERR",27
"ERR044801","ERR",27
"ERR248748","ERR",27
"ERR248738","ERR",27
"ERR248716","ERR",27
"ERR248776","ERR",27
"ERR248746","ERR",27
"ERR248737","ERR",27
"ERR248714","ERR",27
"ERR248713","ERR",27
"ERR248768","ERR",27
"ERR248754","ERR",27
"ERR248753","ERR",27
"ERR248752","ERR",27
"ERR248735","ERR",27
"ERR248734","ERR",27
"ERR248733","ERR",27
"ERR248711","ERR",27
"ERR248765","ERR",27
"ERR248732","ERR",27
"ERR248731","ERR",27
"ERR248761","ERR",27
"ERR248730","ERR",27
"ERR248728","ERR",27
"ERR248727","ERR",27
"ERR248725","ERR",27
"ERR248723","ERR",27
"ERR248745","ERR",27
"ERR248722","ERR",27
"ERR248759","ERR",27
"ERR248721","ERR",27
"ERR248720","ERR",27
"ERR248757","ERR",27
"ERR248719","ERR",27
"ERR248772","ERR",27
"ERR248778","ERR",27
"ERR248771","ERR",27
"ERR248750","ERR",27
"ERR248741","ERR",27
"ERR248740","ERR",27
"ERR248777","ERR",27
"SRR5945685","SRR",27
"SRR7309137","SRR",27
"SRR7309147","SRR",27
"SRR7309162","SRR",27
"SRR7309168","SRR",27
"SRR7309177","SRR",27
"SRR7309208","SRR",27
"SRR7309238","SRR",27
"SRR7308886","SRR",27
"SRR7308889","SRR",27
"SRR7308890","SRR",27
"SRR7308909","SRR",27
"SRR7308911","SRR",27
"SRR7308928","SRR",27
"SRR7308942","SRR",27
"SRR7308954","SRR",27
"SRR7308991","SRR",27
"SRR7309008","SRR",27
"SRR7309015","SRR",27
"SRR7309021","SRR",27
"SRR7309024","SRR",27
"SRR7309043","SRR",27
"SRR7309047","SRR",27
"SRR7309055","SRR",27
"SRR7309056","SRR",27
"SRR7309058","SRR",27
"SRR7309063","SRR",27
"SRR7309092","SRR",27
"SRR7309101","SRR",27
"SRR7309106","SRR",27
"SRR7309108","SRR",27
"SRR7309112","SRR",27
"SRR7309119","SRR",27
"SRR7309121","SRR",27
"SRR7309131","SRR",27
"SRR7308657","SRR",27
"SRR7308668","SRR",27
"SRR7308669","SRR",27
"SRR7308673","SRR",27
"SRR7308682","SRR",27
"SRR7308691","SRR",27
"SRR7308696","SRR",27
"SRR7308705","SRR",27
"SRR7308716","SRR",27
"SRR7308742","SRR",27
"SRR7308746","SRR",27
"SRR7308756","SRR",27
"SRR7308757","SRR",27
"SRR7308760","SRR",27
"SRR7308762","SRR",27
"SRR7308781","SRR",27
"SRR7308790","SRR",27
"SRR7308792","SRR",27
"SRR7308798","SRR",27
"SRR7308799","SRR",27
"SRR7308800","SRR",27
"SRR7308808","SRR",27
"SRR7308813","SRR",27
"SRR7308834","SRR",27
"SRR7308835","SRR",27
"SRR7308841","SRR",27
"SRR7308843","SRR",27
"SRR7308844","SRR",27
"SRR7308849","SRR",27
"SRR7308864","SRR",27
"SRR7308874","SRR",27
"SRR6890724","SRR",27
"SRR6890731","SRR",27
"SRR6890733","SRR",27
"SRR6890735","SRR",27
"SRR6890738","SRR",27
"SRR6890739","SRR",27
"SRR6890741","SRR",27
"SRR6890742","SRR",27
"SRR6890744","SRR",27
"SRR6890746","SRR",27
"SRR6890747","SRR",27
"ERR3473915","ERR",27
"ERR3473880","ERR",27
"ERR3473874","ERR",27
"ERR3473861","ERR",27
"ERR3473851","ERR",27
"ERR3473847","ERR",27
"ERR3473841","ERR",27
"ERR3473828","ERR",27
"ERR3473824","ERR",27
"ERR3465619","ERR",27
"ERR3465613","ERR",27
"ERR3465590","ERR",27
"ERR3465584","ERR",27
"ERR3465569","ERR",27
"ERR3465552","ERR",27
"ERR3465548","ERR",27
"ERR3465534","ERR",27
"ERR3465521","ERR",27
"ERR3465519","ERR",27
"ERR3465494","ERR",27
"ERR3465480","ERR",27
"ERR3465462","ERR",27
"ERR3465439","ERR",27
"ERR3465379","ERR",27
"SRR6009844","SRR",27
"SRR6009106","SRR",27
"SRR6008986","SRR",27
"SRR6008945","SRR",27
"SRR6009725","SRR",27
"SRR6009867","SRR",27
"SRR3631748","SRR",27
"SRR7309033","SRR",27
"SRR7308921","SRR",27
"SRR7308893","SRR",27
"SRR7309170","SRR",27
"SRR7308897","SRR",27
"SRR7309053","SRR",27
"SRR7309243","SRR",27
"SRR7309069","SRR",27
"SRR7308651","SRR",27
"SRR7308979","SRR",27
"SRR7308980","SRR",27
"SRR7308734","SRR",27
"SRR7309247","SRR",27
"SRR7309129","SRR",27
"SRR7308681","SRR",27
"SRR7308876","SRR",27
"SRR7309122","SRR",27
"SRR7309144","SRR",27
"SRR7308862","SRR",27
"SRR7309146","SRR",27
"SRR7309175","SRR",27
"SRR7308948","SRR",27
"SRR7308684","SRR",27
"SRR7308898","SRR",27
"SRR7308868","SRR",27
"SRR7309196","SRR",27
"SRR7308837","SRR",27
"SRR7308627","SRR",27
"SRR7308658","SRR",27
"SRR7309135","SRR",27
"SRR7309181","SRR",27
"SRR7309091","SRR",27
"SRR7309180","SRR",27
"SRR7308634","SRR",27
"SRR7308829","SRR",27
"SRR7309042","SRR",27
"SRR7308906","SRR",27
"SRR7308636","SRR",27
"SRR7308637","SRR",27
"SRR7308780","SRR",27
"SRR7308828","SRR",27
"SRR7309080","SRR",27
"SRR7308998","SRR",27
"SRR7309189","SRR",27
"SRR7308783","SRR",27
"SRR7309206","SRR",27
"SRR7308690","SRR",27
"SRR7308990","SRR",27
"SRR7308884","SRR",27
"SRR7308728","SRR",27
"SRR7308871","SRR",27
"SRR7309093","SRR",27
"SRR7308987","SRR",27
"SRR7309204","SRR",27
"SRR7309029","SRR",27
"SRR7308653","SRR",27
"SRR7308711","SRR",27
"SRR7308647","SRR",27
"SRR7308962","SRR",27
"SRR7308724","SRR",27
"SRR7308729","SRR",27
"SRR7308853","SRR",27
"SRR7308663","SRR",27
"SRR7309120","SRR",27
"SRR7308892","SRR",27
"SRR7308640","SRR",27
"SRR3629637","SRR",27
"ERR026419","ERR",27
"ERR029509","ERR",27
"ERR030338","ERR",27
"ERR044813","ERR",27
"ERR045750","ERR",27
"ERR045756","ERR",27
"ERR045758","ERR",27
"ERR111456","ERR",27
"ERR111457","ERR",27
"ERR111458","ERR",27
"ERR111459","ERR",27
"ERR111463","ERR",27
"ERR111465","ERR",27
"SRR3630612","SRR",27
"SRR3630544","SRR",27
"SRR3630939","SRR",27
"SRR3630904","SRR",27
"SRR3630112","SRR",27
"SRR3355419","SRR",27
"SRR3630937","SRR",27
"SRR3630259","SRR",27
"SRR3630124","SRR",27
"SRR3630022","SRR",27
"SRR3630932","SRR",27
"SRR3630888","SRR",27
"SRR3630881","SRR",27
"SRR3630621","SRR",27
"SRR3630057","SRR",27
"SRR3630392","SRR",27
"SRR3630398","SRR",27
"SRR3630415","SRR",27
"SRR3630237","SRR",27
"SRR3630387","SRR",27
"SRR3630031","SRR",27
"SRR3630871","SRR",27
"SRR3630089","SRR",27
"SRR3630551","SRR",27
"SRR3630356","SRR",27
"SRR3355923","SRR",27
"SRR3355843","SRR",27
"SRR3356111","SRR",27
"SRR3355936","SRR",27
"SRR3335268","SRR",27
"SRR3356243","SRR",27
"SRR3355938","SRR",27
"SRR3355793","SRR",27
"SRR3355836","SRR",27
"SRR3356357","SRR",27
"SRR3355913","SRR",27
"SRR3338483","SRR",27
"SRR3337673","SRR",27
"SRR3356147","SRR",27
"SRR3355852","SRR",27
"SRR3356167","SRR",27
"SRR3357520","SRR",27
"SRR3355889","SRR",27
"SRR3355349","SRR",27
"SRR3356033","SRR",27
"SRR3355723","SRR",27
"SRR3355484","SRR",27
"SRR3356353","SRR",27
"SRR3338553","SRR",27
"SRR3355474","SRR",27
"SRR3355931","SRR",27
"SRR3338895","SRR",27
"SRR3338463","SRR",27
"SRR3357525","SRR",27
"SRR3357518","SRR",27
"SRR3335227","SRR",27
"SRR3356182","SRR",27
"SRR3355750","SRR",27
"SRR3355461","SRR",27
"SRR3357878","SRR",27
"SRR3335910","SRR",27
"SRR3357940","SRR",27
"SRR3356252","SRR",27
"SRR3337787","SRR",27
"SRR3356288","SRR",27
"SRR3356193","SRR",27
"SRR3338731","SRR",27
"SRR3357815","SRR",27
"SRR3356241","SRR",27
"SRR3337770","SRR",27
"SRR3357962","SRR",27
"SRR3334818","SRR",27
"SRR3356197","SRR",27
"SRR3338916","SRR",27
"SRR3356323","SRR",27
"SRR3355403","SRR",27
"SRR3357842","SRR",27
"SRR3357507","SRR",27
"SRR3356144","SRR",27
"SRR3356137","SRR",27
"SRR3358197","SRR",27
"SRR3355442","SRR",27
"SRR3357644","SRR",27
"SRR3356261","SRR",27
"SRR3355881","SRR",27
"SRR3339208","SRR",27
"SRR3356219","SRR",27
"SRR3356247","SRR",27
"SRR3356149","SRR",27
"SRR3355394","SRR",27
"SRR3356337","SRR",27
"SRR3355869","SRR",27
"SRR3358244","SRR",27
"SRR3355883","SRR",27
"SRR3355462","SRR",27
"SRR3337722","SRR",27
"SRR3355473","SRR",27
"SRR3357512","SRR",27
"SRR3356199","SRR",27
"SRR3355899","SRR",27
"SRR3631552","SRR",27
"SRR3631180","SRR",27
"SRR3631205","SRR",27
"SRR3631538","SRR",27
"SRR3631950","SRR",27
"SRR3631914","SRR",27
"SRR3631572","SRR",27
"SRR3631911","SRR",27
"SRR3631902","SRR",27
"SRR3631351","SRR",27
"SRR3631812","SRR",27
"SRR3631358","SRR",27
"SRR3631378","SRR",27
"SRR3631182","SRR",27
"SRR3631846","SRR",27
"SRR3631562","SRR",27
"SRR3631580","SRR",27
"SRR3631203","SRR",27
"SRR3631750","SRR",27
"SRR3631856","SRR",27
"SRR3631819","SRR",27
"SRR3631923","SRR",27
"SRR3631834","SRR",27
"SRR3631541","SRR",27
"SRR3631491","SRR",27
"SRR3631397","SRR",27
"SRR3631259","SRR",27
"SRR3631345","SRR",27
"SRR3631443","SRR",27
"SRR3631307","SRR",27
"SRR3631907","SRR",27
"SRR3631185","SRR",27
"SRR3631262","SRR",27
"SRR3335520","SRR",27
"SRR3631305","SRR",27
"SRR3631471","SRR",27
"SRR3335250","SRR",27
"ERR347628","ERR",27
"ERR347691","ERR",27
"ERR347680","ERR",27
"ERR347647","ERR",27
"ERR347679","ERR",27
"ERR347667","ERR",27
"ERR347646","ERR",27
"ERR347636","ERR",27
"ERR347626","ERR",27
"ERR347701","ERR",27
"ERR347666","ERR",27
"ERR347645","ERR",27
"ERR347635","ERR",27
"ERR347625","ERR",27
"ERR347700","ERR",27
"ERR347689","ERR",27
"ERR347665","ERR",27
"ERR347644","ERR",27
"SRR3335817","SRR",27
"SRR3357569","SRR",27
"SRR3356346","SRR",27
"SRR3358209","SRR",27
"SRR3335595","SRR",27
"SRR3338517","SRR",27
"SRR3356263","SRR",27
"SRR3355414","SRR",27
"SRR3356165","SRR",27
"SRR3338189","SRR",27
"SRR3338182","SRR",27
"SRR3335502","SRR",27
"SRR3630872","SRR",27
"SRR3355366","SRR",27
"SRR3630069","SRR",27
"SRR3357937","SRR",27
"SRR3335998","SRR",27
"ERR347685","ERR",27
"SRR3358268","SRR",27
"SRR3356225","SRR",27
"ERR347622","ERR",27
"ERR347684","ERR",27
"ERR347672","ERR",27
"ERR347661","ERR",27
"ERR347651","ERR",27
"SRR3355396","SRR",27
"SRR3335602","SRR",27
"ERR347604","ERR",27
"SRR3356318","SRR",27
"SRR3631374","SRR",27
"SRR3357876","SRR",27
"SRR3356239","SRR",27
"ERR347583","ERR",27
"ERR347610","ERR",27
"ERR347603","ERR",27
"ERR347602","ERR",27
"ERR347586","ERR",27
"ERR347581","ERR",27
"ERR347599","ERR",27
"ERR347584","ERR",27
"ERR347797","ERR",27
"ERR347774","ERR",27
"ERR347578","ERR",27
"ERR347832","ERR",27
"ERR347820","ERR",27
"ERR347808","ERR",27
"ERR347763","ERR",27
"ERR347831","ERR",27
"ERR347819","ERR",27
"ERR347744","ERR",27
"ERR347783","ERR",27
"ERR347762","ERR",27
"ERR347750","ERR",27
"ERR347818","ERR",27
"ERR347794","ERR",27
"ERR347782","ERR",27
"ERR347725","ERR",27
"ERR347805","ERR",27
"ERR347793","ERR",27
"ERR347760","ERR",27
"ERR347748","ERR",27
"ERR347719","ERR",27
"ERR347713","ERR",27
"ERR347707","ERR",27
"ERR347743","ERR",27
"ERR347816","ERR",27
"ERR347804","ERR",27
"ERR347792","ERR",27
"ERR347780","ERR",27
"ERR347759","ERR",27
"ERR347747","ERR",27
"ERR347740","ERR",27
"ERR347694","ERR",27
"ERR347660","ERR",27
"ERR347650","ERR",27
"ERR347682","ERR",27
"ERR347670","ERR",27
"ERR347692","ERR",27
"ERR347659","ERR",27
"ERR347669","ERR",27
"ERR347629","ERR",27
"ERR347638","ERR",27
"ERR347825","ERR",27
"ERR347714","ERR",27
"ERR347778","ERR",27
"ERR347767","ERR",27
"ERR347824","ERR",27
"ERR347800","ERR",27
"ERR347788","ERR",27
"ERR347777","ERR",27
"ERR347766","ERR",27
"ERR347755","ERR",27
"ERR347834","ERR",27
"ERR347737","ERR",27
"ERR347730","ERR",27
"ERR347811","ERR",27
"ERR347712","ERR",27
"ERR347787","ERR",27
"ERR347776","ERR",27
"ERR347765","ERR",27
"ERR347601","ERR",27
"ERR347798","ERR",27
