,accession,source_code,ribotype,c1
244,ERR256910,ERR,78.0,
245,ERR256909,ERR,78.0,
246,ERR256898,ERR,78.0,
247,ERR256897,ERR,78.0,
248,ERR256901,ERR,78.0,
249,ERR256900,ERR,78.0,
250,ERR256899,ERR,78.0,
251,ERR171297,ERR,78.0,
252,ERR171296,ERR,78.0,
253,ERR171295,ERR,78.0,
254,ERR171294,ERR,78.0,
255,ERR171293,ERR,78.0,
256,ERR171292,ERR,78.0,
257,ERR171291,ERR,78.0,
258,ERR171290,ERR,78.0,
259,ERR171289,ERR,78.0,
260,ERR171288,ERR,78.0,
261,ERR171287,ERR,78.0,
262,ERR171286,ERR,78.0,
263,ERR171381,ERR,78.0,
264,ERR171380,ERR,78.0,
265,ERR171379,ERR,78.0,
266,ERR171378,ERR,78.0,
267,ERR171377,ERR,78.0,
268,ERR171376,ERR,78.0,
269,ERR171375,ERR,78.0,
270,ERR171373,ERR,78.0,
271,ERR171372,ERR,78.0,
272,ERR171371,ERR,78.0,
273,ERR171370,ERR,78.0,
274,ERR171351,ERR,78.0,
275,ERR171350,ERR,78.0,
276,ERR171308,ERR,78.0,
277,ERR171307,ERR,78.0,
278,ERR171306,ERR,78.0,
279,ERR171305,ERR,78.0,
280,ERR171304,ERR,78.0,
281,ERR171303,ERR,78.0,
282,ERR171302,ERR,78.0,
283,ERR171299,ERR,78.0,
284,ERR171298,ERR,78.0,
285,ERR171340,ERR,78.0,
286,ERR247120,ERR,78.0,
287,ERR247132,ERR,78.0,
288,ERR247131,ERR,78.0,
289,ERR247130,ERR,78.0,
290,ERR247129,ERR,78.0,
291,ERR247128,ERR,78.0,
292,ERR247127,ERR,78.0,
293,ERR247126,ERR,78.0,
294,ERR247125,ERR,78.0,
295,ERR247124,ERR,78.0,
296,ERR247123,ERR,78.0,
297,ERR247122,ERR,78.0,
298,ERR247121,ERR,78.0,
299,ERR247136,ERR,78.0,
300,ERR247135,ERR,78.0,
301,ERR247134,ERR,78.0,
302,ERR247069,ERR,78.0,
303,ERR247068,ERR,78.0,
304,ERR247067,ERR,78.0,
305,ERR247063,ERR,78.0,
306,ERR247099,ERR,78.0,
307,ERR247058,ERR,78.0,
308,ERR247057,ERR,78.0,
309,ERR247054,ERR,78.0,
310,ERR247052,ERR,78.0,
311,ERR247051,ERR,78.0,
312,ERR247050,ERR,78.0,
313,ERR247049,ERR,78.0,
314,ERR247048,ERR,78.0,
315,ERR247047,ERR,78.0,
316,ERR247046,ERR,78.0,
317,ERR247045,ERR,78.0,
318,ERR247060,ERR,78.0,
319,ERR247059,ERR,78.0,
320,ERR247044,ERR,78.0,
321,ERR247043,ERR,78.0,
322,ERR171245,ERR,78.0,
323,ERR171243,ERR,78.0,
324,ERR171242,ERR,78.0,
325,ERR171240,ERR,78.0,
326,ERR171239,ERR,78.0,
327,ERR171238,ERR,78.0,
328,ERR171237,ERR,78.0,
329,ERR171236,ERR,78.0,
330,ERR171235,ERR,78.0,
331,ERR171234,ERR,78.0,
332,ERR171233,ERR,78.0,
333,ERR171232,ERR,78.0,
334,ERR171231,ERR,78.0,
335,ERR171230,ERR,78.0,
336,ERR171229,ERR,78.0,
337,ERR171228,ERR,78.0,
338,ERR171227,ERR,78.0,
339,ERR171226,ERR,78.0,
340,ERR171225,ERR,78.0,
341,ERR171224,ERR,78.0,
342,ERR171223,ERR,78.0,
343,ERR171221,ERR,78.0,
344,ERR171218,ERR,78.0,
345,ERR171217,ERR,78.0,
346,ERR171216,ERR,78.0,
347,ERR171215,ERR,78.0,
348,ERR171213,ERR,78.0,
349,ERR171211,ERR,78.0,
350,ERR171210,ERR,78.0,
351,ERR171209,ERR,78.0,
352,ERR171208,ERR,78.0,
353,ERR171207,ERR,78.0,
354,ERR171206,ERR,78.0,
355,ERR171198,ERR,78.0,
356,ERR171196,ERR,78.0,
357,ERR171195,ERR,78.0,
358,ERR171194,ERR,78.0,
359,ERR171191,ERR,78.0,
360,ERR171190,ERR,78.0,
361,ERR027336,ERR,78.0,
362,ERR027337,ERR,78.0,
363,ERR027340,ERR,78.0,
364,ERR027341,ERR,78.0,
365,ERR027343,ERR,78.0,
366,ERR027345,ERR,78.0,
367,ERR027346,ERR,78.0,
368,ERR027347,ERR,78.0,
369,ERR027349,ERR,78.0,
370,ERR027351,ERR,78.0,
371,ERR027354,ERR,78.0,
372,ERR027355,ERR,78.0,
373,ERR027356,ERR,78.0,
374,ERR027358,ERR,78.0,
375,ERR027359,ERR,78.0,
376,ERR027360,ERR,78.0,
377,SRR1519423,SRR,78.0,
378,SRR1158335,SRR,78.0,
379,SRR1161446,SRR,78.0,
380,SRR5365899,SRR,78.0,
381,SRR5365898,SRR,78.0,
382,SRR5365897,SRR,78.0,
383,SRR5365896,SRR,78.0,
384,SRR5365895,SRR,78.0,
385,SRR5365894,SRR,78.0,
386,SRR5365893,SRR,78.0,
387,SRR5365892,SRR,78.0,
388,SRR5365891,SRR,78.0,
389,SRR5365890,SRR,78.0,
390,SRR5410582,SRR,78.0,
391,SRR5410581,SRR,78.0,
392,SRR5410580,SRR,78.0,
393,SRR5410579,SRR,78.0,
394,SRR5410578,SRR,78.0,
395,SRR5410577,SRR,78.0,
396,SRR5410576,SRR,78.0,
397,SRR5410575,SRR,78.0,
398,SRR5410574,SRR,78.0,
399,SRR5410573,SRR,78.0,
400,SRR5410572,SRR,78.0,
401,SRR5410571,SRR,78.0,
402,SRR5410570,SRR,78.0,
403,SRR5410569,SRR,78.0,
404,SRR5410568,SRR,78.0,
405,SRR5410567,SRR,78.0,
406,SRR5410566,SRR,78.0,
407,SRR5410565,SRR,78.0,
408,SRR5410564,SRR,78.0,
409,SRR5410563,SRR,78.0,
410,SRR5410562,SRR,78.0,
411,SRR5410561,SRR,78.0,
412,SRR5410560,SRR,78.0,
413,SRR5410559,SRR,78.0,
414,SRR5410558,SRR,78.0,
415,SRR5410557,SRR,78.0,
416,SRR5410556,SRR,78.0,
417,SRR5410555,SRR,78.0,
418,SRR5410554,SRR,78.0,
419,SRR5410553,SRR,78.0,
420,SRR5410552,SRR,78.0,
421,SRR5410551,SRR,78.0,
422,SRR5410550,SRR,78.0,
423,SRR5410549,SRR,78.0,
424,SRR5410548,SRR,78.0,
425,SRR5410547,SRR,78.0,
426,SRR5410546,SRR,78.0,
427,SRR5410545,SRR,78.0,
428,SRR5410544,SRR,78.0,
429,SRR5410543,SRR,78.0,
430,SRR5410542,SRR,78.0,
431,SRR5410541,SRR,78.0,
432,SRR5410540,SRR,78.0,
433,SRR5410539,SRR,78.0,
434,SRR5410538,SRR,78.0,
435,SRR5410537,SRR,78.0,
436,SRR5410536,SRR,78.0,
437,SRR5410535,SRR,78.0,
438,SRR5410534,SRR,78.0,
439,SRR5410533,SRR,78.0,
440,SRR5410532,SRR,78.0,
441,SRR5410531,SRR,78.0,
442,SRR5410530,SRR,78.0,
443,SRR5410529,SRR,78.0,
444,SRR5410528,SRR,78.0,
445,SRR5410527,SRR,78.0,
446,SRR5410526,SRR,78.0,
447,SRR5410525,SRR,78.0,
448,SRR5410524,SRR,78.0,
449,SRR5410523,SRR,78.0,
450,SRR5410522,SRR,78.0,
451,SRR5410521,SRR,78.0,
452,SRR5410520,SRR,78.0,
453,SRR5410519,SRR,78.0,
454,SRR5410518,SRR,78.0,
455,SRR5410517,SRR,78.0,
456,SRR5410516,SRR,78.0,
457,SRR5410515,SRR,78.0,
458,SRR5410514,SRR,78.0,
459,SRR5410513,SRR,78.0,
460,SRR5410512,SRR,78.0,
461,SRR5410511,SRR,78.0,
462,SRR5410510,SRR,78.0,
463,SRR5410509,SRR,78.0,
464,SRR5410508,SRR,78.0,
465,SRR5410507,SRR,78.0,
466,SRR5410506,SRR,78.0,
467,SRR5410505,SRR,78.0,
468,SRR5410504,SRR,78.0,
469,SRR5410503,SRR,78.0,
470,SRR5410502,SRR,78.0,
471,SRR5410501,SRR,78.0,
472,SRR5410500,SRR,78.0,
473,SRR5410499,SRR,78.0,
474,SRR5410498,SRR,78.0,
475,SRR5410497,SRR,78.0,
476,SRR5410496,SRR,78.0,
477,SRR5410495,SRR,78.0,
478,SRR5410494,SRR,78.0,
479,SRR5410493,SRR,78.0,
480,SRR5410492,SRR,78.0,
481,SRR5410491,SRR,78.0,
482,SRR5410490,SRR,78.0,
