id,count
813,1
814,93
815,1
816,1
817,3
818,1
819,1
820,1
821,19
822,94
823,22
824,1
825,1
826,91
827,1
828,1
829,3
830,1
831,1
832,3
833,82
834,7
835,1
836,92
837,1
838,1
839,1
840,1
841,1
842,1
843,45
844,1
845,82
846,1
847,1
848,92
849,23
850,14
851,3
852,3
853,95
854,3
855,15
856,1
857,1
858,21
859,1
860,1
861,1
862,89
863,1
864,1
865,3
866,1
867,19
868,1
869,1
870,1
871,93
872,1
873,1
874,1
875,94
876,7
877,1
878,94
879,64
880,23
881,85
882,95
883,1
884,1
885,2
886,1
887,3
888,14
889,71
890,1
891,1
892,2
893,1
894,56
895,2
896,1
897,1
898,3
899,1
900,31
901,1
902,1
903,22
904,1
905,1
906,1
907,20
908,1
909,93
910,1
911,13
912,9
913,3
914,1
915,2
916,82
917,2
918,6
919,1
920,2
921,2
922,2
923,13
924,94
925,2
926,54
927,1
928,1
929,66
930,1
931,1
932,1
933,23
934,9
935,5
936,13
937,95
938,1
939,1
940,1
941,1
942,1
943,3
944,95
945,1
946,1
947,67
948,1
949,1
950,2
951,61
952,3
953,17
954,17
955,59
956,1
957,1
958,2
959,6
960,45
961,23
962,3
963,82
964,7
965,1
966,23
967,1
968,13
969,23
970,23
971,1
972,22
973,7
974,3
975,1
976,1
977,21
978,1
979,1
980,3
981,9
982,3
983,1
984,1
985,15
986,1
987,77
988,1
989,1
990,1
991,1
992,1
993,2
994,1
995,59
996,3
997,3
998,16
999,23
1000,1
1001,1
1002,2
1003,36
1004,2
1005,1
1006,16
1007,10
1008,5
1009,1
1010,92
1011,1
1012,3
1013,14
1014,85
1015,1
1016,15
1017,92
1018,1
1019,1
1020,1
1021,1
1022,2
1023,29
1024,1
1025,1
1026,14
1027,1
1028,1
1029,61
1030,46
1031,1
1032,1
1033,1
1034,1
1035,23
1036,1
1037,4
1038,22
1039,1
1040,4
1041,1
1042,89
1043,1
1044,1
1045,1
1046,19
1047,1
1048,1
1049,93
1050,1
1051,1
1052,3
1053,23
1054,1
1055,2
1056,1
1057,60
1058,1
1059,3
1060,1
1061,3
1062,1
1063,22
1064,1
1065,1
1066,3
1067,68
1068,1
1069,2
1070,59
1071,1
1072,45
1073,1
1074,23
1075,16
1076,1
1077,4
1078,19
1079,1
1080,1
1081,22
1082,1
1083,3
1084,23
1085,19
1086,1
1087,19
1088,1
1089,1
