id,count
813,3
814,1
815,2
816,1
817,1
818,1
819,20
820,1
821,1
822,3
823,19
824,23
825,71
826,1
827,1
828,1
829,4
830,59
831,1
832,1
833,17
834,69
835,1
836,1
837,1
838,1
839,16
840,10
841,1
842,1
843,1
844,3
845,45
846,2
847,2
848,2
849,13
850,1
851,51
852,3
853,8
854,6
855,2
856,1
857,45
858,18
859,8
860,1
861,12
862,1
863,2
864,1
865,1
866,2
867,1
868,1
869,3
870,14
871,2
872,1
873,2
874,1
875,4
876,37
877,2
878,1
879,1
880,5
881,4
882,1
883,1
884,2
885,33
886,2
887,1
888,1
889,5
890,10
891,19
892,2
893,1
894,35
895,2
896,8
897,1
898,2
899,4
900,2
901,5
902,1
903,8
904,1
905,1
906,10
907,2
908,1
909,1
910,1
911,5
912,1
913,1
914,1
915,2
916,22
917,1
918,1
919,1
920,2
921,2
922,2
923,1
924,11
925,1
926,1
927,33
928,18
929,1
930,23
931,21
932,3
933,1
934,1
935,1
936,1
937,1
938,57
939,1
940,1
941,2
942,1
943,3
944,19
945,1
946,1
947,40
948,1
949,47
950,1
951,4
952,22
953,1
954,69
955,1
956,13
957,1
958,1
959,1
960,1
961,22
962,21
963,3
964,1
965,1
966,2
967,1
968,58
969,1
970,3
971,1
972,1
973,3
974,1
975,75
976,2
977,23
978,40
979,1
980,2
981,4
982,2
983,45
984,43
985,5
986,4
987,1
988,1
989,1
990,1
991,1
992,1
993,14
994,1
995,1
996,19
997,2
998,1
999,23
1000,1
1001,1
1002,87
1003,3
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,19
1014,3
1015,3
1016,2
1017,1
1018,2
1019,1
1020,1
1021,13
1022,1
1023,2
1024,1
1025,1
1026,22
1027,1
1028,3
1029,82
1030,1
1031,1
1032,3
1033,1
1034,1
1035,51
1036,1
1037,1
1038,2
1039,1
1040,1
1041,1
1042,1
1043,1
1044,7
1045,1
1046,1
1047,22
1048,22
1049,23
1050,23
1051,1
1052,1
1053,1
1054,91
1055,1
1056,1
1057,7
1058,84
1059,14
1060,2
1061,1
1062,1
1063,1
1064,1
1065,3
1066,53
1067,2
1068,1
1069,2
1070,3
1071,1
1072,1
1073,4
1074,2
1075,3
1076,45
1077,1
1078,35
1079,10
1080,5
1081,4
1082,23
1083,1
1084,3
1085,5
1086,7
1087,1
1088,2
1089,4
