id,ribotype
55,"['012', '029', '434', '434', '444', '519', '519', '524', 'Strain630', '012', '012', '012', '029', '029', '029', '033', '033', '033', '033', '045/1', '063', '063', '063', '063/1', '063/1', '078/4', '078ecdc', '126', '247', '247', '251', '434', '441', '444', '444', '444', '519', '519', '519', '524', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', '078', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
56,['027']
57,['066']
58,"['441/3', '247']"
59,"['012', '027', '029', '029', '033', '063/1', '247', '434', '434', '441/3', '444', '484', '519', '524', '542', '542', 'Strain630', 'StrainCD196', '012', '012', '012', '012', '012', '012', '029', '029', '029', '029', '033', '033', '033', '045/1', '045', '063', '063', '063/1', '063/1', '066', '066/2', '066/2', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '251', '434', '434', '441', '444', '444', '484', '519', '519', '519', '524', '524', '524', '542', '542', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-14', '176', 'CloneA-6', '078', 'CloneAT-16', 'CloneAT-3', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
60,['247']
61,"['012', '027', '029', '033', '063/1', '126', '247', '434', '441/3', '444', '519', '519', '524', 'Strain630', '012', '012', '012', '029', '029', '033', '033', '033', '033', '045/1', '063', '063', '063', '063/1', '066', '078/4', '078ecdc', '126', '247', '247', '247', '247', '251', '434', '441', '444', '444', '444', '519', '519', '519', '524', '542', '542', 'AI-56', 'StrainCD196', 'StrainCD196', '045/1', 'Strain027', 'AI5', 'CloneB-12', 'CloneAT-17', 'CloneAT-11', '001', 'CloneAT-7', 'CloneAT-9', 'CloneAT-8', 'CloneAT-14', 'CloneAT-12', 'CloneAT-1', 'CloneA-15', 'CloneB-11']"
62,['063/1']
63,['434']
64,['029']
65,['063/1']
