"accession","source_code","ribotype"
"ERR3465789","ERR",78
"ERR3465786","ERR",78
"ERR3465784","ERR",78
"ERR3465783","ERR",78
"ERR3465782","ERR",78
"ERR3465781","ERR",78
"ERR3465780","ERR",78
"ERR3465779","ERR",78
"ERR3465776","ERR",78
"ERR3465775","ERR",78
"ERR3465772","ERR",78
"ERR3465771","ERR",78
"ERR3465768","ERR",78
"ERR3465767","ERR",78
"ERR3465766","ERR",78
"ERR3465763","ERR",78
"ERR3465762","ERR",78
"ERR3465761","ERR",78
"ERR3465759","ERR",78
"ERR3465758","ERR",78
"ERR3465757","ERR",78
"ERR3465756","ERR",78
"ERR3465755","ERR",78
"ERR3465754","ERR",78
"ERR3465751","ERR",78
"ERR3465749","ERR",78
"ERR3465748","ERR",78
"ERR3465743","ERR",78
"ERR3465733","ERR",78
"ERR3465731","ERR",78
"ERR3465730","ERR",78
"ERR3465729","ERR",78
"ERR3465725","ERR",78
"ERR3465724","ERR",78
"ERR3465723","ERR",78
"ERR3465722","ERR",78
"ERR3465721","ERR",78
"ERR3465719","ERR",78
"ERR3465717","ERR",78
"ERR3465716","ERR",78
"ERR3465714","ERR",78
"ERR3465711","ERR",78
"ERR3465710","ERR",78
"ERR3465707","ERR",78
"ERR3465700","ERR",78
"ERR3465697","ERR",78
"ERR3465696","ERR",78
"ERR3465694","ERR",78
"ERR3465693","ERR",78
"ERR3465692","ERR",78
"ERR3465688","ERR",78
"ERR3465686","ERR",78
"ERR3465684","ERR",78
"ERR3465683","ERR",78
"ERR3465682","ERR",78
"ERR3465681","ERR",78
"ERR3465680","ERR",78
"ERR3465679","ERR",78
"ERR3465676","ERR",78
"ERR3465675","ERR",78
"ERR3465673","ERR",78
"ERR3465669","ERR",78
"ERR3465668","ERR",78
"ERR3465667","ERR",78
"ERR3465665","ERR",78
"ERR3465664","ERR",78
"ERR3465663","ERR",78
"ERR3465660","ERR",78
"ERR3465659","ERR",78
"ERR3465658","ERR",78
"ERR3465657","ERR",78
"ERR3465651","ERR",78
"ERR3465650","ERR",78
"ERR3465648","ERR",78
"ERR3465647","ERR",78
"ERR3465646","ERR",78
"ERR3465644","ERR",78
"ERR3465643","ERR",78
"ERR3465642","ERR",78
"ERR3465641","ERR",78
"ERR3465640","ERR",78
"ERR3465639","ERR",78
"ERR3465632","ERR",78
"ERR3465631","ERR",78
"ERR3465630","ERR",78
"ERR3465617","ERR",78
"ERR3465605","ERR",78
"ERR3465598","ERR",78
"ERR3465580","ERR",78
"ERR3465562","ERR",78
"ERR3465561","ERR",78
"ERR3465470","ERR",78
"ERR3465466","ERR",78
"ERR3465451","ERR",78
"ERR3465447","ERR",78
"ERR3465445","ERR",78
"ERR3465420","ERR",78
"ERR3465380","ERR",78
"ERR3465345","ERR",78
"SRR6042350","SRR",77
"ERR3473863","ERR",73
"ERR3473830","ERR",73
"ERR3473811","ERR",72
"ERR2215993","ERR",70
"ERR3473888","ERR",70
"ERR3473815","ERR",70
"ERR3465608","ERR",70
"ERR126286","ERR",69
"ERR232379","ERR",67
"ERR126277","ERR",66
"SRR1519416","SRR",66
"ERR3473752","ERR",66
"ERR3473766","ERR",63
"ERR3465550","ERR",62
"ERR3465429","ERR",62
"ERR232382","ERR",60
"ERR126275","ERR",58
"ERR126259","ERR",56
"ERR3473792","ERR",56
"ERR126260","ERR",54
"ERR3473767","ERR",54
"ERR126279","ERR",53
"ERR3473892","ERR",53
"ERR3473865","ERR",53
"ERR3473809","ERR",53
"ERR3465372","ERR",51
"ERR126296","ERR",50
"ERR2215973","ERR",50
"ERR3473823","ERR",50
"ERR3473816","ERR",50
"ERR3465547","ERR",49
"ERR3473779","ERR",49
"ERR3465752","ERR",49
"ERR3465746","ERR",49
"ERR3465718","ERR",49
"ERR3465678","ERR",49
"ERR3465672","ERR",49
"ERR3465599","ERR",49
"ERR3465506","ERR",49
"ERR3473788","ERR",46
"ERR3465487","ERR",46
"ERR126280","ERR",45
"ERR3473774","ERR",45
"ERR3473791","ERR",44
"ERR3473783","ERR",44
"ERR3473912","ERR",43
"ERR3473872","ERR",43
"ERR3473754","ERR",42
"ERR232378","ERR",39
"ERR3473751","ERR",39
"ERR3465465","ERR",39
"ERR3465453","ERR",39
"ERR3465402","ERR",39
"ERR3465618","ERR",37
"ERR232387","ERR",36
